ctmString,ctm,open,high,low,close,vol
"May 4, 2023, 12:00:00 AM",1683151200000,125652.0,52.0,-52.0,-3.0,3203.0
"May 4, 2023, 12:15:00 AM",1683152100000,125649.0,67.0,-17.0,67.0,4790.0
"May 4, 2023, 12:30:00 AM",1683153000000,125718.0,44.0,-43.0,12.0,6896.0
"May 4, 2023, 12:45:00 AM",1683153900000,125732.0,1.0,-99.0,-85.0,4596.0
"May 4, 2023, 1:00:00 AM",1683154800000,125645.0,25.0,-25.0,23.0,6187.0
"May 4, 2023, 1:15:00 AM",1683155700000,125667.0,20.0,-21.0,6.0,5232.0
"May 4, 2023, 1:30:00 AM",1683156600000,125673.0,43.0,-12.0,34.0,6268.0
"May 4, 2023, 1:45:00 AM",1683157500000,125707.0,0.0,-29.0,-25.0,5372.0
"May 4, 2023, 2:00:00 AM",1683158400000,125682.0,153.0,-14.0,127.0,8585.0
"May 4, 2023, 2:15:00 AM",1683159300000,125808.0,108.0,-5.0,1.0,6809.0
"May 4, 2023, 2:30:00 AM",1683160200000,125807.0,29.0,-30.0,-19.0,5883.0
"May 4, 2023, 2:45:00 AM",1683161100000,125788.0,25.0,-28.0,-22.0,5427.0
"May 4, 2023, 3:00:00 AM",1683162000000,125766.0,0.0,-48.0,-13.0,8213.0
"May 4, 2023, 3:15:00 AM",1683162900000,125753.0,58.0,-15.0,54.0,8192.0
"May 4, 2023, 3:30:00 AM",1683163800000,125805.0,94.0,0.0,90.0,6516.0
"May 4, 2023, 3:45:00 AM",1683164700000,125897.0,1.0,-81.0,-58.0,7455.0
"May 4, 2023, 4:00:00 AM",1683165600000,125837.0,35.0,-5.0,8.0,6860.0
"May 4, 2023, 4:15:00 AM",1683166500000,125844.0,41.0,-12.0,23.0,3743.0
"May 4, 2023, 4:30:00 AM",1683167400000,125867.0,19.0,-26.0,4.0,4185.0
"May 4, 2023, 4:45:00 AM",1683168300000,125862.0,33.0,-9.0,4.0,7459.0
"May 4, 2023, 5:00:00 AM",1683169200000,125866.0,28.0,-14.0,7.0,4714.0
"May 4, 2023, 5:15:00 AM",1683170100000,125875.0,4.0,-55.0,-26.0,4646.0
"May 4, 2023, 5:30:00 AM",1683171000000,125847.0,9.0,-25.0,-23.0,5846.0
"May 4, 2023, 5:45:00 AM",1683171900000,125824.0,13.0,-11.0,7.0,4400.0
"May 4, 2023, 6:00:00 AM",1683172800000,125833.0,10.0,-19.0,-7.0,3891.0
