ctmString,ctm,open,high,low,close,vol
"May 11, 2023, 12:00:00 AM",1683756000000,169518.0,127.0,0.0,78.0,2444.0
"May 11, 2023, 12:15:00 AM",1683756900000,169595.0,8.0,-90.0,-61.0,2552.0
"May 11, 2023, 12:30:00 AM",1683757800000,169534.0,5.0,-91.0,-87.0,4838.0
"May 11, 2023, 12:45:00 AM",1683758700000,169453.0,35.0,-47.0,-22.0,2778.0
"May 11, 2023, 1:00:00 AM",1683759600000,169430.0,1.0,-142.0,-119.0,4125.0
"May 11, 2023, 1:15:00 AM",1683760500000,169315.0,42.0,-87.0,36.0,3553.0
"May 11, 2023, 1:30:00 AM",1683761400000,169351.0,6.0,-51.0,-4.0,3206.0
"May 11, 2023, 1:45:00 AM",1683762300000,169342.0,10.0,-74.0,-51.0,3564.0
"May 11, 2023, 2:00:00 AM",1683763200000,169300.0,36.0,-82.0,-18.0,8753.0
"May 11, 2023, 2:15:00 AM",1683764100000,169282.0,18.0,-153.0,-90.0,8764.0
"May 11, 2023, 2:30:00 AM",1683765000000,169191.0,216.0,0.0,190.0,7621.0
"May 11, 2023, 2:45:00 AM",1683765900000,169380.0,99.0,-29.0,32.0,9542.0
"May 11, 2023, 3:00:00 AM",1683766800000,169410.0,29.0,-61.0,-27.0,7115.0
"May 11, 2023, 3:15:00 AM",1683767700000,169382.0,120.0,-2.0,53.0,7253.0
"May 11, 2023, 3:30:00 AM",1683768600000,169436.0,10.0,-154.0,-144.0,10249.0
"May 11, 2023, 3:45:00 AM",1683769500000,169295.0,58.0,-52.0,15.0,6731.0
"May 11, 2023, 4:00:00 AM",1683770400000,169305.0,72.0,-31.0,29.0,7248.0
"May 11, 2023, 4:15:00 AM",1683771300000,169332.0,105.0,0.0,24.0,6781.0
"May 11, 2023, 4:30:00 AM",1683772200000,169355.0,108.0,-18.0,73.0,8867.0
"May 11, 2023, 4:45:00 AM",1683773100000,169427.0,6.0,-60.0,-29.0,8373.0
"May 11, 2023, 5:00:00 AM",1683774000000,169396.0,0.0,-73.0,-63.0,5607.0
